Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,153,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,703,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,1806,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,5036,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,12089,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,19601,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,22612,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,22916,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,84918,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,31,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,74,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,170,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,484,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,1822,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,4121,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,5399,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,4929,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,17031,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,75,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,285,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,746,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2151,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,4612,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,6812,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,6224,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,4837,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,25744,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,136,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,496,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1296,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,3831,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,9218,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,16044,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,18856,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,85+,18462,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,2,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory failure,J96,All Ages,68341,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,9,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,30,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,78,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,192,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,453,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,825,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,1056,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,1365,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All Ages,4008,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,25,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,63,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,159,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,387,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,966,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,1588,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,1939,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,2136,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,7263,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,20,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,126,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,565,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,1855,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,5220,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,9484,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,11835,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,85+,13800,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,42905,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,4,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,31,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,121,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,542,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,2062,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,4624,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,6810,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,85+,8154,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,1,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,22349,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,0-24,61,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,25-34,232,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,35-44,579,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,45-54,1600,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,3569,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,5545,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,6044,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,6564,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrest,I46,All Ages,24194,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,11,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,30,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,78,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,301,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,934,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,2282,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,3727,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,5144,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,12507,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,0-24,6,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,25-34,47,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,35-44,101,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,45-54,346,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,55-64,1115,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,65-74,2284,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,75-84,3658,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,85+,5544,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Heart failure,I50,All Ages,13101,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,7,
10/4/2020,2/1/2020,10/3/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,29,
